ncesId,stateSchoolId
480009510550,TX-057816-057816102
480009508166,TX-057816-057816101
480020308758,TX-057829-057829001
480020313579,TX-057829-057829002
480145313374,TX-101871-101871041
480145313369,TX-101871-101871102
480738000006,TX-109901-109901001
480741000007,TX-095901-095901101
480741000008,TX-095901-095901001
480741000009,TX-095901-095901041
480744000010,TX-221901-221901001
480744012452,TX-221901-221901010
480744009394,TX-221901-221901004
480744000012,TX-221901-221901102
480744002371,TX-221901-221901153
480744000013,TX-221901-221901103
480744000014,TX-221901-221901104
480744002231,TX-221901-221901047
480744000016,TX-221901-221901002
480744011347,TX-221901-221901048
480744009396,TX-221901-221901107
480744007449,TX-221901-221901006
480744011348,TX-221901-221901208
480744000018,TX-221901-221901108
480744000022,TX-221901-221901112
480744000024,TX-221901-221901113
480744009497,TX-221901-221901008
480744000026,TX-221901-221901116
480744013477,TX-221901-221901156
480744000030,TX-221901-221901044
480744000031,TX-221901-221901045
480744012705,TX-221901-221901155
480744011037,TX-221901-221901142
480744002354,TX-221901-221901152
480744000033,TX-221901-221901120
480744009062,TX-221901-221901007
480744000035,TX-221901-221901121
480744002241,TX-221901-221901151
480744002238,TX-221901-221901150
480744007123,TX-221901-221901003
480009308164,TX-057814-057814001
480009312248,TX-057814-057814002
480009312005,TX-057814-057814005
480009312112,TX-057814-057814003
480009312001,TX-057814-057814004
480747013381,TX-014901-014901102
480747000040,TX-014901-014901001
480747000039,TX-014901-014901101
480747006348,TX-014901-014901041
480747009111,TX-014901-014901005
480003208585,TX-101810-101810002
480009008161,TX-057810-057810101
480019210716,TX-101849-101849101
480019212133,TX-101849-101849105
480750000042,TX-180903-180903001
480004108501,TX-057806-057806101
480753000043,TX-178901-178901101
480753000044,TX-178901-178901001
480759000045,TX-015901-015901001
480759000046,TX-015901-015901041
480759000047,TX-015901-015901101
480759000048,TX-015901-015901102
480759000050,TX-015901-015901104
480765000052,TX-250906-250906101
480765000053,TX-250906-250906001
480765007158,TX-250906-250906002
480768000054,TX-209901-209901001
480768000055,TX-209901-209901101
480771011250,TX-101902-101902090
480771000057,TX-101902-101902001
480771007620,TX-101902-101902099
480771000058,TX-101902-101902041
480771007917,TX-101902-101902081
480771000059,TX-101902-101902101
480771013696,TX-101902-101902015
480771006639,TX-101902-101902126
480771013733,TX-101902-101902014
480771009528,TX-101902-101902131
480771021292,TX-101902-101902128
480771013787,TX-101902-101902141
480771000061,TX-101902-101902122
480771000062,TX-101902-101902103
480771007919,TX-101902-101902107
480771000056,TX-101902-101902002
480771005634,TX-101902-101902123
480771012216,TX-101902-101902136
480771012108,TX-101902-101902012
480771012202,TX-101902-101902082
480771007921,TX-101902-101902155
480771017014,TX-101902-101902042
480771006204,TX-101902-101902124
480771013688,TX-101902-101902137
480771000066,TX-101902-101902004
480771007918,TX-101902-101902084
480771000067,TX-101902-101902121
480771013771,TX-101902-101902138
480771000069,TX-101902-101902105
480771012191,TX-101902-101902053
480771012009,TX-101902-101902163
480771000071,TX-101902-101902106
480771005942,TX-101902-101902048
480771006638,TX-101902-101902125
480771012174,TX-101902-101902135
480771012117,TX-101902-101902161
480771012521,TX-101902-101902013
480771000070,TX-101902-101902043
480771008260,TX-101902-101902129
480771010723,TX-101902-101902098
480771013675,TX-101902-101902144
480771007621,TX-101902-101902153
480771000072,TX-101902-101902046
480771009550,TX-101902-101902062
480771000074,TX-101902-101902116
480771011867,TX-101902-101902165
480771011899,TX-101902-101902134
480771013718,TX-101902-101902054
480771007920,TX-101902-101902151
480771011785,TX-101902-101902164
480771009556,TX-101902-101902130
480771000075,TX-101902-101902108
480771012198,TX-101902-101902052
480771000076,TX-101902-101902003
480771008258,TX-101902-101902083
480771013786,TX-101902-101902162
480771013776,TX-101902-101902145
480771013705,TX-101902-101902055
480771000063,TX-101902-101902005
480771008259,TX-101902-101902085
480771000064,TX-101902-101902115
480771013692,TX-101902-101902146
480771000080,TX-101902-101902111
480771000081,TX-101902-101902112
480771013761,TX-101902-101902140
480771007015,TX-101902-101902065
480771010721,TX-101902-101902051
480771000082,TX-101902-101902113
480771007307,TX-101902-101902104
480771006969,TX-101902-101902068
480771013764,TX-101902-101902143
480771000083,TX-101902-101902118
480771000084,TX-101902-101902047
480771000073,TX-101902-101902114
480771010724,TX-101902-101902132
480771013680,TX-101902-101902139
480771000085,TX-101902-101902119
480771006816,TX-101902-101902127
480771013760,TX-101902-101902167
480771000086,TX-101902-101902044
480771000087,TX-101902-101902045
480771000068,TX-101902-101902117
480771013775,TX-101902-101902166
480771011879,TX-101902-101902008
480771008261,TX-101902-101902154
480771013799,TX-101902-101902142
480771000079,TX-101902-101902110
480778000089,TX-184907-184907001
480778000090,TX-184907-184907041
480778006501,TX-184907-184907102
480778012586,TX-184907-184907009
480778009500,TX-184907-184907110
480778011935,TX-184907-184907104
480778008897,TX-184907-184907103
480778000088,TX-184907-184907101
480778013642,TX-184907-184907105
480780000091,TX-125901-125901043
480780000092,TX-125901-125901001
480780000093,TX-125901-125901041
480780000095,TX-125901-125901101
480780000096,TX-125901-125901042
480780000098,TX-125901-125901104
480780000099,TX-125901-125901105
480780000100,TX-125901-125901106
480780000101,TX-125901-125901107
480783006350,TX-101903-101903199
480783005840,TX-101903-101903045
480783005944,TX-101903-101903114
480783012389,TX-101903-101903012
480783008805,TX-101903-101903047
480783008599,TX-101903-101903005
480783011491,TX-101903-101903205
480783000105,TX-101903-101903041
480783021293,TX-101903-101903118
480783000106,TX-101903-101903102
480783009517,TX-101903-101903145
480783007622,TX-101903-101903121
480783000113,TX-101903-101903104
480783000107,TX-101903-101903108
480783008266,TX-101903-101903122
480783011510,TX-101903-101903011
480783005841,TX-101903-101903112
480783000103,TX-101903-101903002
480783000104,TX-101903-101903001
480783006349,TX-101903-101903115
480783005637,TX-101903-101903111
480783007308,TX-101903-101903120
480783011887,TX-101903-101903124
480783005639,TX-101903-101903044
480783011251,TX-101903-101903123
480783000112,TX-101903-101903107
480783015742,TX-101903-101903006
480783000108,TX-101903-101903043
480783007016,TX-101903-101903141
480783006640,TX-101903-101903116
480783000111,TX-101903-101903109
480783000114,TX-101903-101903106
480783000102,TX-101903-101903103
480783008267,TX-101903-101903143
480783008806,TX-101903-101903144
480783001143,TX-101903-101903046
480783000110,TX-101903-101903042
480783004182,TX-101903-101903119
480783005756,TX-101903-101903140
480783005385,TX-101903-101903110
480783005943,TX-101903-101903113
480783000109,TX-101903-101903105
480783006817,TX-101903-101903117
480783008598,TX-101903-101903003
480783000115,TX-101903-101903101
480783007309,TX-101903-101903142
480003507914,TX-101815-101815101
480789000117,TX-043901-043901001
480789000119,TX-043901-043901102
480789006351,TX-043901-043901105
480789012461,TX-043901-043901117
480789008725,TX-043901-043901110
480789010490,TX-043901-043901114
480789000120,TX-043901-043901101
480789012329,TX-043901-043901116
480789010489,TX-043901-043901113
480789010488,TX-043901-043901044
480789006950,TX-043901-043901107
480789007552,TX-043901-043901108
480789005843,TX-043901-043901104
480789007553,TX-043901-043901109
480789009490,TX-043901-043901112
480789013566,TX-043901-043901119
480789008726,TX-043901-043901111
480789012806,TX-043901-043901118
480789008146,TX-043901-043901002
480789012153,TX-043901-043901115
480789006641,TX-043901-043901106
480789008481,TX-043901-043901004
480789005842,TX-043901-043901042
480789006072,TX-043901-043901043
480795000123,TX-022901-022901101
480795000124,TX-022901-022901001
480795000125,TX-022901-022901041
480798000126,TX-037901-037901101
480798000127,TX-037901-037901001
480798007548,TX-037901-037901041
480001106201,TX-126901-126901102
480001100130,TX-126901-126901101
480001100128,TX-126901-126901001
480001107367,TX-126901-126901104
480001100129,TX-126901-126901041
480001103090,TX-126901-126901103
480809000131,TX-020901-020901101
480809000132,TX-020901-020901001
480809000133,TX-020901-020901041
480809000134,TX-020901-020901102
480809010458,TX-020901-020901005
480809013837,TX-020901-020901120
480809000135,TX-020901-020901104
480809013606,TX-020901-020901119
480809008709,TX-020901-020901004
480809008452,TX-020901-020901110
480809013577,TX-020901-020901048
480809000136,TX-020901-020901105
480809011558,TX-020901-020901046
480809005386,TX-020901-020901043
480809012607,TX-020901-020901114
480809007527,TX-020901-020901109
480809011538,TX-020901-020901112
480809010456,TX-020901-020901002
480809012631,TX-020901-020901047
480809000138,TX-020901-020901103
480809010459,TX-020901-020901111
480809003080,TX-020901-020901108
480809013503,TX-020901-020901116
480809013725,TX-020901-020901007
480809013790,TX-020901-020901049
480809011504,TX-020901-020901045
480809013513,TX-020901-020901118
480809000139,TX-020901-020901106
480809012913,TX-020901-020901115
480809000137,TX-020901-020901042
480809011776,TX-020901-020901113
480809013109,TX-020901-020901006
480809013506,TX-020901-020901117
480809005387,TX-020901-020901107
480810000140,TX-249901-249901101
480810000141,TX-249901-249901001
480810006205,TX-249901-249901041
480813007086,TX-188901-188901003
480813000142,TX-188901-188901001
480813000143,TX-188901-188901041
480813000144,TX-188901-188901101
480813000145,TX-188901-188901102
480813000146,TX-188901-188901103
480813000147,TX-188901-188901048
480813013083,TX-188901-188901052
480813000148,TX-188901-188901042
480813000149,TX-188901-188901002
480813008349,TX-188901-188901110
480813021049,TX-188901-188901170
480813000151,TX-188901-188901104
480813000152,TX-188901-188901043
480813000153,TX-188901-188901105
480813000154,TX-188901-188901106
480813000155,TX-188901-188901044
480813000156,TX-188901-188901107
480813000157,TX-188901-188901108
480813000158,TX-188901-188901109
480813009010,TX-188901-188901171
480813000159,TX-188901-188901045
480813000160,TX-188901-188901111
480813010996,TX-188901-188901050
480813000161,TX-188901-188901112
480813000162,TX-188901-188901113
480813000163,TX-188901-188901114
480813000164,TX-188901-188901115
480813010995,TX-188901-188901049
480813000165,TX-188901-188901046
480813000166,TX-188901-188901134
480813000167,TX-188901-188901138
480813000168,TX-188901-188901119
480813000169,TX-188901-188901120
480813000170,TX-188901-188901004
480813000171,TX-188901-188901121
480813000172,TX-188901-188901122
480813000173,TX-188901-188901139
480813000174,TX-188901-188901123
480813000175,TX-188901-188901124
480813000176,TX-188901-188901126
480813000177,TX-188901-188901125
480813005641,TX-188901-188901140
480813000178,TX-188901-188901127
480813000179,TX-188901-188901128
480813000180,TX-188901-188901130
480813000181,TX-188901-188901005
480813011319,TX-188901-188901143
480813013070,TX-188901-188901053
480813000182,TX-188901-188901047
480813000183,TX-188901-188901131
480813000184,TX-188901-188901132
480813000185,TX-188901-188901133
480813005642,TX-188901-188901141
480813000186,TX-188901-188901135
480813008350,TX-188901-188901142
480028411566,TX-084804-084804101
480816000188,TX-140901-140901001
480011308237,TX-101819-101819001
480819000189,TX-036901-036901101
480819000190,TX-036901-036901001
480819000191,TX-036901-036901041
480819013185,TX-036901-036901006
480823000192,TX-093901-093901101
480823000193,TX-093901-093901001
480828007502,TX-002901-002901002
480828000194,TX-002901-002901001
480828000195,TX-002901-002901041
480828005844,TX-002901-002901105
480828000196,TX-002901-002901101
480828000199,TX-002901-002901104
480831000200,TX-020902-020902001
480831009139,TX-020902-020902044
480831016825,TX-020902-020902003
480831007814,TX-020902-020902004
480831012579,TX-020902-020902110
480831021127,TX-020902-020902109
480831000203,TX-020902-020902102
480831005945,TX-020902-020902108
480831000204,TX-020902-020902103
480831006642,TX-020902-020902002
480831000205,TX-020902-020902104
480834013704,TX-043902-043902106
480834000207,TX-043902-043902001
480834006502,TX-043902-043902041
480834000206,TX-043902-043902101
480834013494,TX-043902-043902105
480834011456,TX-043902-043902103
480840000210,TX-127901-127901101
480840000208,TX-127901-127901001
480840000209,TX-127901-127901041
480843006503,TX-071906-071906101
480843000212,TX-071906-071906001
480843008550,TX-071906-071906041
480846000214,TX-110901-110901001
480849000215,TX-228905-228905101
480849000216,TX-228905-228905001
480852000218,TX-109912-109912001
480855000221,TX-004901-004901102
480855000219,TX-004901-004901101
480855000220,TX-004901-004901103
480855000222,TX-004901-004901001
480855000223,TX-004901-004901041
480858000225,TX-205901-205901041
480858000224,TX-205901-205901001
480858007710,TX-205901-205901104
480858000226,TX-205901-205901101
480858000227,TX-205901-205901102
480861000228,TX-005901-005901101
480861000229,TX-005901-005901001
480867008769,TX-061910-061910001
480867012249,TX-061910-061910042
480867008200,TX-061910-061910041
480867000230,TX-061910-061910101
480867013742,TX-061910-061910103
480001907303,TX-101803-101803041
480001913071,TX-101803-101803001
480015808363,TX-220802-220802101
480015812533,TX-220802-220802040
480015812532,TX-220802-220802102
480870012797,TX-220901-220901161
480870000231,TX-220901-220901124
480870011013,TX-220901-220901160
480870013677,TX-220901-220901014
480870013043,TX-220901-220901011
480870000232,TX-220901-220901001
480870007433,TX-220901-220901149
480870000233,TX-220901-220901132
480870000234,TX-220901-220901045
480870005335,TX-220901-220901052
480870006507,TX-220901-220901141
480870009033,TX-220901-220901158
480870000235,TX-220901-220901101
480870000236,TX-220901-220901102
480870006352,TX-220901-220901051
480870021493,TX-220901-220901004
480870005343,TX-220901-220901147
480870008910,TX-220901-220901155
480870000238,TX-220901-220901129
480870000239,TX-220901-220901041
480870012353,TX-220901-220901105
480870005845,TX-220901-220901137
480870007434,TX-220901-220901150
480870000240,TX-220901-220901103
480870000241,TX-220901-220901130
480870000242,TX-220901-220901104
480870000243,TX-220901-220901125
480870006821,TX-220901-220901142
480870021051,TX-220901-220901143
480870006066,TX-220901-220901136
480870000245,TX-220901-220901126
480870000246,TX-220901-220901119
480870000247,TX-220901-220901047
480870008025,TX-220901-220901153
480870000248,TX-220901-220901117
480870000251,TX-220901-220901121
480870013254,TX-220901-220901163
480870000252,TX-220901-220901128
